Network_Size,Algorithm,NLE_m,NLT_s,NLA,Rank
25_TNs_15_ANs,Dung_Beetle,0.250,1.31,25,1
25_TNs_15_ANs,Chimp,0.309,3.67,24,2
25_TNs_15_ANs,Aquila,0.532,1.18,18,3
25_TNs_15_ANs,Covid,0.726,2.94,10,4
50_TNs_30_ANs,Dung_Beetle,0.234,2.79,49,1
50_TNs_30_ANs,Chimp,0.276,7.75,49,2
50_TNs_30_ANs,Aquila,0.468,2.38,37,3
50_TNs_30_ANs,Covid,0.861,6.01,13,4
75_TNs_45_ANs,Dung_Beetle,0.213,4.35,72,1
75_TNs_45_ANs,Chimp,0.268,12.05,73,2
75_TNs_45_ANs,Aquila,0.428,3.61,56,3
75_TNs_45_ANs,Covid,0.735,9.12,28,4
100_TNs_60_ANs,Dung_Beetle,0.222,5.96,99,1
100_TNs_60_ANs,Chimp,0.254,17.19,98,2
100_TNs_60_ANs,Aquila,0.460,5.18,71,3
100_TNs_60_ANs,Covid,0.715,12.36,37,4
125_TNs_75_ANs,Dung_Beetle,0.202,7.72,123,1
125_TNs_75_ANs,Chimp,0.232,20.74,124,2
125_TNs_75_ANs,Aquila,0.435,7.09,89,3
125_TNs_75_ANs,Covid,0.790,15.59,49,4
150_TNs_90_ANs,Dung_Beetle,0.184,9.94,149,1
150_TNs_90_ANs,Chimp,0.205,24.43,150,2
150_TNs_90_ANs,Aquila,0.414,8.45,109,3
150_TNs_90_ANs,Covid,0.759,21.21,63,4
Average_Performance,Dung_Beetle,0.218,5.18,101.2,1
Average_Performance,Chimp,0.257,14.31,94.7,2
Average_Performance,Aquila,0.456,4.65,63.3,3
Average_Performance,Covid,0.764,11.04,33.5,4 